id,pack_type,extra_time,extra_flow,pack_change,contract,loss
199,1,-193.6666667,-60,0,0,1
200,1,-172.3333333,-51.03892693,0,0,1
201,1,-130.6666667,-59.91940793,0,0,1
202,2,389.6666667,360.4690217,0,1,0
203,1,146.5,-111.0248821,0,1,0
204,1,161.2166667,-299.2078123,0,0,1
205,1,276.8333333,-59.44362326,0,0,1
206,1,-183.5,-58.34499979,0,0,1
207,1,-194.5,-59.9061203,0,0,1
208,1,374.1666667,-49.5460981,1,0,1
209,1,1146.833333,153.4793997,0,0,1
210,1,-50,1840,0,0,1
211,1,-380,-59.66532469,0,0,1
212,1,-164.5,-50.9153321,0,0,1
213,1,-110.3333333,-59.66585469,0,1,1
214,1,40.6,-57.92251712,0,0,1
215,1,-51.35,-59.72015529,0,0,1
216,1,-53.16666667,94.84334624,0,0,1
217,1,-76.16666667,-59.77969112,0,0,1
218,1,-146.5,-59.41248729,0,0,1
219,1,-109.3333333,2.123631001,0,0,1
220,1,-110,-57.22293615,0,0,1
221,1,-140,-60,0,0,1
222,1,-200,-1433,0,0,1
223,1,98.35,-59.98911537,0,0,1
224,1,-15.5,-78.00323514,0,0,1
225,1,-331.8333333,-59.90279728,0,0,1
226,1,566.8333333,-21.54108611,0,0,1
227,1,218.8333333,-59.36327076,0,0,1
228,1,-46.33333333,-122.2600701,0,0,1
229,1,197.8,-38.58166703,0,0,1
230,1,652.5,-79.62897291,0,0,0
231,1,-50,-280,0,0,1
232,1,-40,-175.722456,0,0,1
233,1,-61.33333333,-36.32898331,0,0,1
234,1,24.66666667,-31.16103849,0,0,1
235,1,1624,-59.72214756,0,0,1
236,1,-48.83333333,-231.195076,0,0,1
237,1,34.08333333,-59.70603506,0,0,1
238,1,-2.35,-57.36057229,0,0,1
239,1,-80.5,-48.74684775,0,0,1
240,1,-20,-59.99426238,0,0,1
241,1,515,-68.69883275,0,0,1
242,1,937.1666667,-74.20160039,0,0,1
243,1,-119.1666667,-59.95515624,0,0,1
244,1,-110,-59.99360752,0,0,1
245,1,75.16666667,-25.87262908,0,0,1
246,1,72.16666667,-27.1787112,0,0,1
247,1,-195.6666667,-55.70141188,0,0,1
248,1,178.3333333,-76.87693735,0,0,1
249,1,-198.6666667,-59.99200916,0,0,1
250,1,-190,-59.84425068,0,0,1
251,1,-10.66666667,-59.9844226,0,0,1
252,1,30.66666667,-178.8311648,0,0,1
253,1,-300.8333333,-56.56059774,0,0,1
254,1,1329.666667,-12.48123083,0,1,0
255,1,-314.8333333,-59.99969612,0,0,1
256,1,-84.05,-55.80591708,0,0,1
257,1,1190.5,-59.51702356,0,0,1
258,1,0.5,-155.6879503,0,0,1
259,1,-49.66666667,-267.0845715,0,0,1
260,1,-380,-1327,0,0,1
261,1,212.6666667,-59.98694553,0,0,1
262,1,-45,-184.7354672,0,0,1
263,2,363.8333333,-29.37178728,0,1,0
264,1,647.1666667,-13.93850493,0,1,0
265,1,1135.833333,131.0769007,1,1,0
266,1,53.83333333,-155.50142,0,1,0
267,1,-106,12.69893239,0,1,0
268,1,-43.83333333,-237.5135587,0,0,1
269,1,70.53333333,-58.87551506,0,0,1
